,Date,Wins,Losses,Draws,Current lose streak,Current win streak,Average significant strikes landed,Average significant strike %,Average submissions attempted,Average takedowns landed,Average takedown %,Longest win streak,Total rounds fought,Total title bouts,Wins by majority decision,Wins by split decision,Wins by unanimous decision,Wins by KO/TKO,Wins by Submission,Wins by Doctor Stoppage,Age,Stance,Height (cm),Reach (cm),Win ratio,Total fights,location,country
Fabricio Camoes,2014-10-25,1,4,0,2,0,13.0,0.438,1.0,1.6,0.308,1,10,0,0,0,0,0,1,0,35,Orthodox,177.8,185.42,0.2,5,"San Diego, CA USA",USA
Fabricio Werdum,2020-07-25,22,9,0,2,0,3.61,0.52,1.1,1.71,0.31,6,71,3,0,0,6,6,10,0,42,Orthodox,193.04,195.58,0.7096774193548387,31,"Los Angeles, California USA",USA
Felice Herrig,2020-08-15,5,3,0,2,0,3.69,0.36,0.9,1.2,0.3,4,21,0,0,1,2,0,2,0,35,Orthodox,162.56,165.1,0.625,8,"Crystal Lake, Illinois USA",USA
Felipe Arantes,2018-06-23,5,6,0,2,0,30.36363636,0.497272727,0.636363636,0.818181818,0.23,2,28,0,0,0,2,1,2,0,30,Orthodox,172.72,185.42,0.45454545454545453,11,Sao Paulo Brazil,Brazil
Felipe Silva,2018-05-19,1,1,0,1,0,5.5,0.22,0.0,0.0,0.0,1,2,0,0,0,0,1,0,0,34,Orthodox,182.88,195.58,0.5,2,"Juiz de Fora, Minas Gerais Brazil",Brazil
Fernando Bruno,2016-07-08,0,1,0,1,0,20.0,0.62,0.0,2.0,0.18,0,3,1,0,0,0,0,0,0,34,Southpaw,167.64,177.8,0.0,1,Rio de Janeiro Brazil,Brazil
Francimar Barroso,2018-01-20,4,4,0,1,0,30.5,0.4475,0.0,2.125,0.23375,2,21,0,0,0,4,0,0,0,37,Orthodox,185.42,190.5,0.5,8,Rio de Janeiro Brazil,Brazil
Francis Carmont,2014-08-23,6,2,0,2,0,25.75,0.46375,0.625,1.625,0.36625,6,22,0,0,1,3,0,2,0,32,Orthodox,190.5,198.12,0.75,8,"Montreal, Quebec Canada",Canada
Francis Ngannou,2021-03-27,10,2,0,0,4,2.54,0.41,0.4,0.2,0.33,6,20,1,0,0,0,9,1,0,34,Orthodox,193.04,210.82,0.8333333333333334,12,Paris France,France
Francisco Rivera,2016-07-30,4,6,0,2,0,36.6,0.442,0.4,0.7,0.275,2,21,0,0,0,1,3,0,0,34,Orthodox,172.72,172.72,0.4,10,"Buena Park, California USA",USA
Francisco Trevino,2015-06-13,1,0,0,0,1,47.0,0.4,0.0,2.0,0.28,1,3,0,0,0,1,0,0,0,33,Orthodox,175.26,177.8,1.0,1,"McAllen, Texas USA",USA
Francisco Trinaldo,2021-06-05,16,6,0,0,3,3.08,0.43,0.5,1.03,0.45,7,56,0,0,1,8,5,2,0,42,Southpaw,175.26,177.8,0.7272727272727273,22,"Brazilia, Distrito Federal Brazil",Brazil
